,support,itemsets
0,0.13793103448275862,frozenset({'5 DAYS CROISSANT CHOCOLATE'})
1,0.06896551724137931,frozenset({'ANTIS HAND SNTZR JERUK N 55 ML'})
2,0.13793103448275862,frozenset({'AQUA AIR MINERAL BTL 600 ML'})
3,0.08045977011494253,frozenset({'CHEETOS ROASTED CORN 75 GR'})
4,0.08045977011494253,frozenset({'CHITATO SAPI PANGGANG 68 GR'})
5,0.08045977011494253,frozenset({'FROSTER CHEESE MILK 16 OZ'})
6,0.11494252873563218,frozenset({'FROSTER CHOCO 12 OZ'})
7,0.08045977011494253,frozenset({'LAYS NORI SEAWEED 68 GR'})
8,0.12643678160919541,frozenset({'LITE & BITE ALMOND BROWNIE'})
9,0.08045977011494253,frozenset({'LITE&BITE CHEESE CAKE 85 GR'})
10,0.08045977011494253,frozenset({'LITE&BITE CHOCO-CHESEE'})
11,0.06896551724137931,frozenset({'LITE&BITE CHOCOLATE'})
12,0.10344827586206896,frozenset({'LITE&BITE FUDGY BROWNIE'})
13,0.14942528735632185,frozenset({'LITE&BITE MARBLE CAKE'})
14,0.09195402298850575,frozenset({'ONIGIRI TAC SPICY TUNA'})
15,0.08045977011494253,frozenset({'ONIGIRI TAC TUNA MAYO'})
16,0.12643678160919541,frozenset({'SAMPOERNA A MILD  16S'})
17,0.20689655172413793,frozenset({'SPUNBOND CIRCLE K'})
18,0.21839080459770116,frozenset({'SPUNBOND TAS POLOS'})
19,0.10344827586206896,frozenset({'TAC - TUNA SANDWICH'})
20,0.08045977011494253,frozenset({'TAC BROWN BREAD TUNA CHEESE'})
21,0.06896551724137931,frozenset({'TEH BOTOL SOSRO ORIGINAL 350ML'})
22,0.10344827586206896,frozenset({'ULTRA MILK CHOCO TP 250 ML'})
23,0.06896551724137931,frozenset({'YAKULT BANDED PACK 5X65ML'})
24,0.06896551724137931,"frozenset({'LITE & BITE ALMOND BROWNIE', 'LITE&BITE FUDGY BROWNIE'})"
25,0.09195402298850575,"frozenset({'LITE & BITE ALMOND BROWNIE', 'LITE&BITE MARBLE CAKE'})"
26,0.06896551724137931,"frozenset({'LITE & BITE ALMOND BROWNIE', 'TAC - TUNA SANDWICH'})"
27,0.10344827586206896,"frozenset({'LITE&BITE MARBLE CAKE', 'LITE&BITE FUDGY BROWNIE'})"
28,0.09195402298850575,"frozenset({'TAC - TUNA SANDWICH', 'LITE&BITE MARBLE CAKE'})"
29,0.06896551724137931,"frozenset({'TAC BROWN BREAD TUNA CHEESE', 'LITE&BITE MARBLE CAKE'})"
30,0.08045977011494253,"frozenset({'TAC - TUNA SANDWICH', 'TAC BROWN BREAD TUNA CHEESE'})"
31,0.06896551724137931,"frozenset({'LITE & BITE ALMOND BROWNIE', 'LITE&BITE MARBLE CAKE', 'LITE&BITE FUDGY BROWNIE'})"
32,0.06896551724137931,"frozenset({'LITE & BITE ALMOND BROWNIE', 'TAC - TUNA SANDWICH', 'LITE&BITE MARBLE CAKE'})"
33,0.06896551724137931,"frozenset({'TAC - TUNA SANDWICH', 'TAC BROWN BREAD TUNA CHEESE', 'LITE&BITE MARBLE CAKE'})"
