,Unnamed: 0,antecedents,consequents,support,confidence,lift
0,0,"[""'Herbal Essences Bio:Renew Strength Whipped Cocoa Butter Conditioner'"", '']","[""'Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free'""]",0.1707317073170731,1.0,3.1538461538461537
1,1,"[""'Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair"", ""No Sulphates & Paraben'"", ""'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'""]","[""'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens"", ""No Colourants'""]",0.1707317073170731,1.0,2.7333333333333334
2,2,"[""'Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair"", ""No Sulphates & Paraben'"", ""'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens"", ""No Colourants'""]","[""'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'""]",0.1707317073170731,1.0,2.7333333333333334
3,3,"[""'Herbal Essences Coconut Milk Shampoo & Conditioner For Hydration & Softness - No Parabens"", ""No Colourants'"", ""'Herbal Essences Strawberry Shampoo & Conditioner For Volume - No Parabens"", ""No Colourants'""]","[""'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens"", ""No Colourants'""]",0.1707317073170731,1.0,2.7333333333333334
4,4,"[""'Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens"", ""No Colourants'"", ""'Herbal Essences Strawberry Shampoo & Conditioner For Volume - No Parabens"", ""No Colourants'""]","[""'Herbal Essences Coconut Milk Shampoo & Conditioner For Hydration & Softness - No Parabens"", ""No Colourants'""]",0.1707317073170731,1.0,4.555555555555555
5,5,"[""'Kay Beauty Colour Correcting Primer'"", ""'Kay Beauty Gel Eye Pencil'""]","[""'Kay Beauty Eyeshadow Palette'""]",0.1707317073170731,1.0,2.0500000000000003
6,6,"[""'Kay Beauty Colour Correcting Primer'"", ""'Lakme Absolute Kohl Ultimate The Gelato Collection'""]","[""'Kay Beauty Eyeshadow Palette'""]",0.1707317073170731,1.0,2.0500000000000003
7,7,"[""'Kay Beauty Colour Correcting Primer'"", ""'Lakme Absolute Kohl Ultimate The Gelato Collection'""]","[""'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow'""]",0.1707317073170731,1.0,2.2777777777777777
8,8,"[""'Kay Beauty Colour Corrector Stick'"", ""'Kay Beauty Hd Liquid Concealer'""]","[""'Kay Beauty Eyeshadow Palette'""]",0.1707317073170731,1.0,2.0500000000000003
9,9,"[""'Kay Beauty Colour Corrector Stick'"", ""'Kay Beauty Matte Compact'""]","[""'Kay Beauty Eyeshadow Palette'""]",0.1951219512195122,1.0,2.0500000000000003
10,10,"[""'Kay Beauty Colour Corrector Stick'"", ""'Kay Beauty Hd Liquid Concealer'""]","[""'Kay Beauty Illuminating Highlighter'""]",0.1707317073170731,1.0,2.2777777777777777
11,11,"[""'Kay Beauty Colour Corrector Stick'"", ""'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'""]","[""'Kay Beauty Illuminating Highlighter'""]",0.1951219512195122,1.0,2.2777777777777777
12,12,"[""'Kay Beauty Creme Blush'"", ""'Kay Beauty Eyeshadow Palette'""]","[""'Kay Beauty Matte Compact'""]",0.2195121951219512,1.0,1.9523809523809523
13,13,"[""'Kay Beauty Creme Blush'"", ""'Lakme 9to5 Primer + Matte Liquid Lip Color'""]","[""'Kay Beauty Eyeshadow Palette'""]",0.1707317073170731,1.0,2.0500000000000003
